Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
SSD,2017-01-01,2019-12-31,277,'728,South Sudan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20172019,2019,%,35,E,
SSD,2018-01-01,2020-12-31,277,'728,South Sudan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20182020,2020,%,72,E,
SSD,2019-01-01,2021-12-31,277,'728,South Sudan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20192021,2021,%,107,E,
SSD,2020-01-01,2022-12-31,277,'728,South Sudan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20202022,2022,%,106,E,
SSD,2017-01-01,2019-12-31,277,'728,South Sudan,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20172019,2019,g/pc/d,21.2,E,
SSD,2018-01-01,2020-12-31,277,'728,South Sudan,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20182020,2020,g/pc/d,42.8,E,
SSD,2017-01-01,2019-12-31,277,'728,South Sudan,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20172019,2019,g/pc/d,9.6,E,
SSD,2018-01-01,2020-12-31,277,'728,South Sudan,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20182020,2020,g/pc/d,18.7,E,
SSD,2000-01-01,2002-12-31,277,'728,South Sudan,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20002002,2002,%,,E,
SSD,2001-01-01,2003-12-31,277,'728,South Sudan,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20012003,2003,%,,E,
SSD,2002-01-01,2004-12-31,277,'728,South Sudan,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20022004,2004,%,,E,
SSD,2003-01-01,2005-12-31,277,'728,South Sudan,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20032005,2005,%,,E,
SSD,2004-01-01,2006-12-31,277,'728,South Sudan,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20042006,2006,%,,E,
SSD,2005-01-01,2007-12-31,277,'728,South Sudan,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20052007,2007,%,,E,
SSD,2006-01-01,2008-12-31,277,'728,South Sudan,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20062008,2008,%,,E,
SSD,2007-01-01,2009-12-31,277,'728,South Sudan,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20072009,2009,%,,E,
SSD,2008-01-01,2010-12-31,277,'728,South Sudan,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20082010,2010,%,,E,
SSD,2009-01-01,2011-12-31,277,'728,South Sudan,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20092011,2011,%,,E,
SSD,2010-01-01,2012-12-31,277,'728,South Sudan,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20102012,2012,%,,E,
SSD,2011-01-01,2013-12-31,277,'728,South Sudan,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20112013,2013,%,,E,
SSD,2012-01-01,2014-12-31,277,'728,South Sudan,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20122014,2014,%,,E,
SSD,2013-01-01,2015-12-31,277,'728,South Sudan,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20132015,2015,%,,E,
SSD,2014-01-01,2016-12-31,277,'728,South Sudan,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20142016,2016,%,,E,
SSD,2015-01-01,2017-12-31,277,'728,South Sudan,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20152017,2017,%,,E,
SSD,2016-01-01,2018-12-31,277,'728,South Sudan,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20162018,2018,%,,E,
SSD,2017-01-01,2019-12-31,277,'728,South Sudan,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20172019,2019,%,,E,
SSD,2018-01-01,2020-12-31,277,'728,South Sudan,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20182020,2020,%,,E,
SSD,2019-01-01,2021-12-31,277,'728,South Sudan,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20192021,2021,%,20.8,E,
SSD,2020-01-01,2022-12-31,277,'728,South Sudan,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20202022,2022,%,21.4,E,
SSD,2000-01-01,2002-12-31,277,'728,South Sudan,210011,Number of people undernourished (million) (3-year average),6132,Value,20002002,2002,million No,,O,
SSD,2001-01-01,2003-12-31,277,'728,South Sudan,210011,Number of people undernourished (million) (3-year average),6132,Value,20012003,2003,million No,,O,
SSD,2002-01-01,2004-12-31,277,'728,South Sudan,210011,Number of people undernourished (million) (3-year average),6132,Value,20022004,2004,million No,,O,
SSD,2003-01-01,2005-12-31,277,'728,South Sudan,210011,Number of people undernourished (million) (3-year average),6132,Value,20032005,2005,million No,,O,
SSD,2004-01-01,2006-12-31,277,'728,South Sudan,210011,Number of people undernourished (million) (3-year average),6132,Value,20042006,2006,million No,,O,
SSD,2005-01-01,2007-12-31,277,'728,South Sudan,210011,Number of people undernourished (million) (3-year average),6132,Value,20052007,2007,million No,,O,
