summary,paragraphs,sentiment_paragraph,sentiment_summary,topic,sentiment,outcome
"The article discusses how heavy rains destroyed at least 70 homes and the only health center in Raja County, Western Bahr el Ghazal state in South Sudan. Relief workers are struggling to provide assistance to victims and families without shelter face increased risk of disease. The South Sudan Red Cross has provided temporary shelter but donations are not enough. Relief crews are working to make the roads passable again for aid trucks.","Wau — Heavy rains last week destroyed at least 70 homes and the only health center in Raja County in Western Bahr el Ghazal state, relief workers said this week as they struggled to help victims of the flooding. The health center that was flooded served more than 350 families, and Raja County Commissioner Hassan Jalaab Khadaam said the county does not have the money to repair it. South Sudan Red Cross state chairman Leon Archangelo said no one died in the flooding a week ago on Tuesday, but warned that families without shelter faced an increased risk of disease, especially malaria, which is transmitted by mosquitoes that breed in stagnant water. The Red Cross has provided temporary shelter to families made homeless by the flooding, but was limited in how far its help would stretch. ""Frankly speaking, the donations we have are not enough, based on the reality on the ground,"" Archangelo said. ""We gave them only shelter assistance. But in general these people might need food items because their farms will not produce the products that they were expecting or some of the farms will not produce at all,"" he said. Relief crews have been working to make the roads leading to the county passable again, so that trucks can carry aid to the area without getting bogged down, officials said.",NEGATIVE,,hunger,-1,-1
"The article discusses the plight of several hundred citizens from Eritrea, Somalia and Ethiopia who are currently among the 100,000 civilians holed up in UN bases in Juba, South Sudan since fighting broke out in mid-December 2013 between supporters and opponents of President Salva Kiir. These foreign nationals have lost the means to resume their precarious lives in the world's youngest nation, and so cannot return to their home countries for fear of persecution or imprisonment. The fate of the foreigners is an extra headache for government officials and relief agencies trying to assist nearly 1.5 million others displaced by the violence.","Juba — Among the 100,000 civilians holed up in UN bases in South Sudan since fighting broke out in mid-December 2013 between supporters and opponents of President Salva Kiir are several hundred citizens from Eritrea, Somalia and Ethiopia. Many have lost the means to resume their precarious lives in the world's youngest nation, and so cannot return to their home countries for fear of persecution or imprisonment. The fate of the foreigners is an extra headache for government officials and relief agencies trying to assist nearly 1.5 million others displaced by the violence. Aid workers warn that famine will strike some areas of South Sudan in the coming months unless more humanitarian assistance is provided. South Sudan, which gained independence from Sudan in 2011, remains one of the world's poorest countries. However, it had been enjoying an economic boom fuelled by oil revenues and international development assistance, and had attracted thousands of investors, traders and labourers from across eastern Africa. Many hotels and restaurants in Juba are owned by Eritreans, who are also said to dominate the water trucking business in many cities. Somalis are said to be prominent in supplying fuel. Officials say many foreign workers lack official residency or work permits, while the Commission for Refugee Affairs is still establishing itself. After fighting broke out in December, the governments of Kenya and Uganda sent planes to evacuate their stranded nationals. Uganda used the need to protect its citizens to partly justify its deployment of troops to secure the capital and prop up Kiir's government. Sara Basha of the International Organization for Migration (IOM) said it had helped repatriate more than 100 other foreigners to their home countries, including many Sudanese citizens. IOM brought the foreigners to Juba, from where the evacuees' embassies were responsible for their onward transport. However, she said some embassies lacked the funds to send their citizens back home. ""So even if we bring them to Juba we are just moving them from one location to another and there is no solution for them,"" Barra told IRIN. Many of those in the IDP camp at UN House, the world body's main compound in Juba, say they have no wish to be repatriated. Eritreans Simon Tesfazghi, a leader of the 250 Eritreans he said lived in the camp, said he had fled Eritrea in 2013 after seven years of gruelling military service. Another reason was that Eritrean authorities did not allow him to practice his Protestant faith freely, he said. Tesfazghi said it was unthinkable for the Eritreans to go back to their country, or to return to South Sudanese towns such as Bor and Bentiu, which were destroyed in the fighting and where foreigners had been harassed and robbed by gunmen from both sides. He said his community would like to be recognized as refugees and taken to another country. ""How long will we have to sit here? We are foreigners, not citizens of this country. Who can find a solution for us?"" John Dabi, deputy commissioner for refugee affairs, said the South Sudanese government acknowledged that the Eritreans could not easily return home. The UN's top human rights body last month launched an investigation into alleged abuses in Eritrea, including extrajudicial executions, torture and forced military conscription. The USA has long listed Eritrea as a ""Country of Particular Concern"" for its ""particularly severe"" violations of religious freedom. Dabi said that after the crisis in South Sudan began he wrote to UNHCR, the UN Refugee Agency, proposing that Eritreans living in the UN camps be granted ""temporary protection"" while a mechanism was established to examine their individual cases. Under laws passed in 2012, South Sudan currently only recognizes refugees from particular areas of Sudan, Ethiopia, Democratic Republic of Congo and Central African Republic. But Dabi said the temporary protection plan was hastily put on ice after it triggered rumours that swept through the Eritrean and other foreign communities that they would be granted refugee status and resettled in the USA, prompting a deluge of new registrations at the camp. ""Everyone came running in and claiming the same status,"" Dabi told IRIN. ""If it is just a handful of people - 80 or 100 - you can deal with it, but if you are talking of several thousand it becomes difficult to manage... They all wanted to get into a third country as soon as possible."" He said the plan to grant the Eritreans temporary protection would be revisited only once the Commission and UNHCR had established a committee to determine applicants' eligibility for refugee status. But there were no plans to do this for Ethiopians or Somalis. Ethiopians One of the displaced, Farouk Kedir, said many of the 160 Ethiopians in the camp at UN House had fled to South Sudan for political reasons. He said Ethiopian authorities had left them alone while they were living unobtrusively in provincial towns, but that grouping them together in Juba had drawn unwanted attention. ""Now that we are all together here, [it is easier to] follow us more closely,"" Kedir told IRIN. He claimed that three people from the community who had ventured outside the camp had been kidnapped, and another killed by unidentified attackers. A group of four men had come to their section of the camp a month earlier and begun taking photographs of the displaced people, Kedir said. Residents challenged them and a scuffle broke out before the men fled. ""We can't go outside to run our businesses as we did before,"" Kedir said. ""And we cannot go back to Ethiopia. We would be killed or imprisoned."" He said community leaders had reported their situation to UN officials, and asked the world body to take them to ""any"" safe country. Somalis Abdul Aziz Ismail, a Somali community leader, said there were 300 Somalis at UN House. He said some of them had been in South Sudan for over 20 years, having fled from the long wars racking their home country. ""We were already displaced. Now we are displaced again, but nobody is taking any notice,"" Ismail said in an interview in a makeshift tea-shop in the camp, flanked by dozens of his compatriots. ""We don't want to be here, using stinking latrines and begging for everything."" He said it was dangerous for any man to return to Somalia. ""If you come from the outside, people will think you are a spy. They will take you away and behead you."" ""Beggars have no choices. If we had a choice, we would have taken it. Now we do not know what we should do."" Ismail said foreigners who left the camp tended to draw the attention of nervous South Sudanese security forces. The fact that many lacked official documents left them vulnerable to harassment, abuse and extortion, he said. Still, he said hundreds of Somalis had left the camp as the situation in Juba had stabilized, particularly those with businesses and support networks in the capital. Dabi argued that many more of the foreigners in the camps would be safe to do likewise. ""Nobody is targeting them. They can go back to whatever business they were doing before,"" he said. South Sudanese authorities had no plans to expel foreigners inside their borders, or to tax their business activities, he said. In the meantime, Dabi said foreign civilians should be granted the same assistance as displaced South Sudanese. While the focus is currently on protection, he said there were discussions under way with international partners about how to help people restore their livelihoods. [ This report does not necessarily reflect the views of the United Nations. ]",NEGATIVE,NEGATIVE,hunger,-1,0
"The article discusses increased health, nutrition, water and sanitation services for over 40,000 people in the UN base in Bentiu, Unity State where the under-five mortality rate remains above the emergency threshold. Meanwhile, nearly 2,200 cholera cases have been reported with the number of cases rising quickly in Eastern Equatoria State. The UN Central Emergency Response Fund has allocated US$3.5 million to the cholera response and close to 640,000 people in remote areas have been reached by rapid response operations since March.","Juba — Health, nutrition, water and sanitation services scaled up for over 40,000 people in the UN base in Bentiu, Unity State, but the under-five mortality rate remained at 2.96 deaths per 10,000 children per day, above the emergency threshold of 2/10,000 per day. Nearly 2,200 cholera cases were reported as of 25 June, with the number of cases rising quickly in Eastern Equatoria State. Close to 640,000 people in remote areas have been reached by rapid response operations since March. The UN Central Emergency Response Fund allocated US$3.5 million to the cholera response. SOURCE Coordination of Humanitarian Affairs (OCHA) in South Sudan",NEGATIVE,NEGATIVE,hunger,0,0
"The article discusses flooding in South Sudan that has affected over 223,000 people, destroyed crops, and left roads impassable. South Sudan's president Salva Kiir has pledged seven million South Sudanese Pounds (roughly $2,000,000) to help those affected and has appealed for donations from citizens, businesses, and humanitarian agencies. The president has identified several specific areas requiring assistance and has formed an emergency response task force to visit affected locations.","Agok — South Sudan's president Salva Kiir announced on Thursday that his government has set aside seven million South Sudanese Pounds to help over 223,000 people who have been affected by recent flooding. As well as pledging the funds, which amounts to roughly $2,000,000, Kiir also appealed for ""donations in any kind to alleviate the suffering and devastation"". Many crops have been destroyed and roads left impassable by the rains since they began in June. ""At this moment, affected people need our help to tide over the calamity that has fallen upon them, to survive and to rebuild their lives. I request all the citizens, the business people, humanitarian agencies and the well wishers to stand with our people and actively participate in the national effort to support them at this difficult time. I appeal to all to donate"", he said. ""The country needs responsibility. We have guaranteed this sense of responsibility and today I want to inform you that there has been extensive devastation due to floods in the country. Large number of our people has been forced to leave their homes and have been damaged. The government has responded to forming emergency response taskforce and I instructed this team to visit all these places which have been affected by the flood"", Kiir said. The president identified his own state of Warrap, Northern Bahr el Ghazal, Western Unity, Upper Nile, Jonglei and parts of Eastern Central Equatoria states as those requiring assistance. ""The government is concerned about the suffering imposed on our people by the flood but I am confident and believe that together with your help this crisis will be overcome"", he said.",POSITIVE,POSITIVE,hunger,1,1
"The article discusses the influx of refugees from South Sudan to Kenya, particularly in Turkana West District and Nadapal border point. The refugees are predominantly women and children who undergo security and health screening by immigration officials, police, and public health officials before being handed over to the United Nations High Commission for Refugees.","Turkana West District Commissioner Erick Wanyonyi said they are receiving between 400 to 600 refugees crossing from the neighbouring country. South Sudan has been hit by internal strife after an attempted coup in December. Wanyonyi said most of the refugees are entering Kenya at the Nadapal border point where they are screened by immigration officials, police and public health officials. They are then handed over to the United Nations High Commission for Refugees. ""We have put in place measures to ensure that they are well screened for security and health purposes before they are allowed into the country,"" Wanyonyi said. He was speaking to the Star on the phone on Sunday. He said most of them are women and children.",NEGATIVE,POSITIVE,refugees,0,1
"The article discusses humanitarian needs in Awerial, Lakes State, South Sudan, where 75,000 people have fled from the conflict in Jonglei. Oxfam has deployed a rapid response team to provide clean water, construction of latrines, and public health promotion. They urge political leaders in Ethiopia to agree to halt the violence and work towards a resolution. Oxfam condemns the use of violent force against civilians and requests all parties to respect and protect humanitarian activities.","Responding to the growing humanitarian impact of the political crisis in South Sudan, Emma Drew, Oxfam's South Sudan Acting Country Director said from Juba: ""Oxfam is concerned about the growing humanitarian needs in Awerial, Lakes State, for the 75,000 people who have fled from the conflict in Jonglei. We have deployed a rapid response team today to urgently support in the delivery of clean water, construction of latrines, and public health promotion. ""We ask all political leaders who have begun talks today in Ethiopia to urgently agree to halt the violence and work actively towards resolution of the crisis. Oxfam strongly condemns the use of violent force against civilians and requests South Sudanese security forces and other armed groups to respect human rights of all its people regardless of ethnic origin. We call on all parties to protect and respect humanitarian activities.""",POSITIVE,POSITIVE,refugees,-1,0
"The article discusses the arrival of tens of thousands of South Sudanese refugees into western Ethiopia, primarily women and children, fleeing the fighting in South Sudan. The influx of refugees is straining the resources of the humanitarian community, with the most vulnerable receiving special nutrient-packed food supplements. The article mentions the high levels of malnutrition, measles, malaria, and respiratory infections affecting the weakest and youngest children, and the impact that the rainy season will have on delivering humanitarian assistance. Humanitarian officials predict that the number of South Sudanese seeking shelter in Ethiopia may double - or more - by the year's end.","Tens of thousands of refugees from South Sudan are pouring into Ethiopia, fleeing the fighting in their homeland. By the end of the year, officials say Ethiopia could be hosting some 150,000 South Sudanese refugees. WFP is distributing food rations to refugees in camps and border crossings, along with special, nutrient-packed foods for the most vulnerable. But the sheer numbers of new arrivals are straining the resources of the humanitarian community. KULE REFUGEE CAMP, Ethiopia - Nyanhial Moun, 18, squats next to a bag of US-donated sorghum, a fleeting smile on her worried face. She will share the grain, along with the vegetable oil, pulses, salt and sugar that WFP has also distributed today, with two other women. Their shared hardships of loss and hunger under a searing sun has produced a strong desire to help each other. Like many of the tens of thousands of South Sudanese refugees who have poured into western Ethiopia in recent weeks, Moun fled the fighting that erupted in her country in mid-December. It took two weeks walking through the bush before she crossed a muddy creek into Ethiopia at the entry point of Pagak. From there, she was transferred to this refugee camp. ""I don't know where I am,"" says Moun, who hails from Malakal, the capital of South Sudan's Upper Nile state. ""I just arrived here. My family is scattered."" Variations of Moun's story are recounted by many of these refugees at Kule. Most are women and children who arrive here exhausted and famished, having eating little more than leaves, wild fruit and handouts from fellow countrymen along the way. Children at risk ""I came here to eat,"" says Nyaluak Chol, 31, as she cradles her listless toddler. Chol reached Ethiopia with three children after a 270-kilometre trek from her home in Upper Nile state. Two other children and her husband are unaccounted for. ""We're staying until things get better,"" she says. The influx of new arrivals is straining the capacities of humanitarian agencies and the Ethiopian government. Some of the weakest and youngest children have died of a lethal mix of malnutrition, measles, malaria and respiratory infections. ""Children are arriving in the camps in a very worrying condition, and there are alarmingly high levels of malnutrition,"" says WFP's acting Country Director Purnima Kashyap, who visited the region this past week as part of a humanitarian delegation who came to assess the situation. WFP has been distributing food rations at the refugee camps and some border points since the crisis erupted in December. The new arrivals also receive high-energy biscuits, and the most fragile - children under 5, pregnant women and nursing mothers - receive special, nutrient-packed food supplements. ""I would say the situation has improved since WFP began the supplementary feeding programme,"" Kashyap adds. ""But the dramatic increase of people seeking refuge in Ethiopia is having an impact on the resources we have. We will need more resources very rapidly over the coming months."" More to come At the nearby border crossing of Pagak, thousands more South Sudanese wait to be bussed to Kule camp. Another camp, Leitchor, with a capacity to host 20,000 refugees, is bursting at the seams. Today, more than 30,000 South Sudanese are living there, and officials are scrambling to expand it. ""These people are coming here because they have problems. They are our brothers and sisters,"" says Ayalew Awoke, deputy head of Ethiopia's Administration for Refugee and Returnee Affairs (ARRA). Unless peace takes hold in South Sudan, these asylum seekers may keep pouring in. Today, humanitarian officials predict the number of South Sudanese seeking shelter in Ethiopia may double - or more - by the year's end. The food is a lifeline for now. But very soon, the rains will arrive, turning roads into muddy tracks that will hamper delivery of humanitarian assistance. And for many of these South Sudanese, who celebrated their country's independence just three years ago, it's hard to look ahead. ""The 21-year-old conflict destroyed everything,"" says 33-year-old Gatuoth Bithow, who worked for the government's disarmament commission before fleeing to Ethiopia. ""Now, people are dying of malaria and other sicknesses. We need help - as soon as possible.""",NEGATIVE,,refugees,1,1
"The article discusses the expected arrival of 15,000 South Sudanese returnees from Sudan in Jonglei State, their reintegration into their respective counties and Payams, and the provision of food aid. The International Organization for Migration plans to return stranded South Sudanese in Kosti to Khartoum and then fly them to Juba. The governor of White Nile state has appealed to complete moving South Sudanese returnees out of his state no later than 20 May. Flights carrying returnees have already arrived in Juba from Khartoum.","Bor — At least 15,000 South Sudanese returnees from Sudan are expected to arrive in Jonglei State within the month, according to the state director of South Sudan Relief and Rehabilitation Commission. Deng Jak told Sudan Tribune in an isolated interview on Monday, said his office has conducted series of meetings with the humanitarian partners to see how the returnees can be helped in terms of food aids and other issues. ""Plans are underway to prepare for their receptions and their reintegration into their counties and Payams"", Jak said. Jak indicated their stores in Bor have what he called ""preposition food"" to give to them upon their arrival saying the much of the food aid allocated to them will be distributed in their respective Counties and Payams. On Friday 11 May, over 2,000 returnees arrived in Bor. The returnees proceeded to Juba where they will be dispersed to their areas of origin. Hundreds of Thousands of South Sudanese left South Sudan for Khartoum and other neighboring countries in the region during decades of civil war between North and South Sudan. The war ended in 2005 with the signing of the Comprehensive Peace Agreement (CPA) between the former rebels the Sudan Liberation Movement (SPLM) and Sudan's ruling National Congress Party (NCP). South Sudan became independent on 9 July after the 98 percent of its people voted for secession in plebiscite granted by the CPA. Sudan revoked the citizenship of all South Sudanese after independence but was persuaded by the international community to allow a nine month grace period, which ended in April. Since October 2010 the International Organization for Migration (IOM) has, as of 8 May 2012, verified the return of 376,226 people. There are estimated to be around half a million South Sudanese still in Sudan. Of these, 12,000-15,000 have been stranded in the town of Kosti in Sudan's White Nile State, waiting for barges to take them up the Nile into South Sudan. Khartoum accuses Juba of commandeering over 30 vesicles for military use. The IOM now plans to return the South Sudanese to Khartoum and then fly them to Juba. It is currently campaigning for the funds to able to complete the operation. According to UN reports, the governor of White Nile state has appealed to the IOM and UN agencies to complete moving South Sudanese returnees out of his state no later than 20 May. On Monday 14 flights carrying returnees arrived in Juba carrying around 400 people, the director of Khartoum International Airport, Salah Salam said on the South Sudan Radio Service. Salam said the delay in the flights were due to late arrival of air crew from Saudi Arabia to Khartoum.",NEGATIVE,POSITIVE,refugees,0,1
"The article discusses clashes between the Nuer and Shilluk tribes at UN protection sites in Malakal, Upper Nile state, resulting in injuries to internally displaced persons and UN peacekeepers. The conflict in South Sudan has displaced over 1.9 million people, with millions more at risk of violence, hunger, and disease. The UN is protecting over 17,000 people in Malakal and 102,000 internally displaced persons across the country.","Juba — Scores of internally displaced people were injured after clashes broke out over the weekend at UN protection sites in South Sudan's Upper Nile state, the world body said on Monday. The clashes reportedly occurred in Malakal between the Nuer and Shilluk tribes. ""Three UNMISS peacekeepers were also injured when they intervened to contain the situation,"" said Farhan Haq, the deputy spokesperson for the UN secretary-general. Over 1.9 million people, the UN says, have been displaced, including some 473,000 who have fled to neighbouring countries as result of the more than 11-month-long conflict in the young nation. Violence, hunger and diseases continue to threaten millions of people across the young nation as aid agencies recently warned of a looming famine early next year. Meanwhile, the UN is reportedly protecting over 17,000 people in Malakal, with some 102,000 internally displaced persons sheltered in its civilian protection sites across the country.",NEGATIVE,NEGATIVE,humanitarian,-1,-1
"The article discusses the condemnation by the US and Canadian embassies in Khartoum of an alleged attack on the Mother of Mercy Hospital in Gidel, located in the Nuba Mountains in South Kordofan. The hospital, run by the Diocese of El Obeid, was bombed over a two-day period by the Sudanese Armed Forces, according to independent news site Nuba Reports. The hospital serves 150,000 patients annually and is the only facility for the Nuban people who are cut off from the outside world and greater Sudan by their own government. The article notes that international relief organizations are banned in the Nuba Mountains. The two embassies expressed their concerns about the protection of civilians in South Kordofan, Blue Nile, and Darfur, where indiscriminate aerial bombardments of civilians and civilian areas by Sudanese Armed Forces continue. Peace talks sponsored by the African Union between the government and the Sudan People's Liberation Movement-North were adjourned last month in Addis Ababa after failing to seal a framework agreement.","Khartoum — The United States and Canadian embassies in Khartoum strongly condemned a reported attack by the Sudanese air force on a hospital that lies in South Kordofan. ""The embassies in Khartoum of Canada and the United States extend their condolences to the victims of the recently reported bombings of the Mother of Mercy Hospital in the Nuba Mountains, South Kordofan"" the statement reads. ""Reports indicate a number of bombs were dropped near the hospital on May 1 and 2 by Sudanese Armed Forces aircraft, causing injuries and terrifying patients and staff alike"". Nuba Reports, an independent news site reporting out of the restive Nuba Mountains area, said that the hospital in Gidel village was bombed last week over a two day period. A video uploaded to the website purportedly showed people running for cover during the air raid amid explosions and sounds of fighter jets roaming overhead. It noted that this hospital is run by the Diocese of El Obeid - one of the few organizations operating in the Nuba Mountains where international relief organizations are banned by the Sudanese government and treats 150,000 patients annually ""[It] is the only hospital facility for the Nuban people who have been cut off from the outside world and greater Sudan by their own government. The only other option is the 4-6 day walk south to the Yida refugee camp in South Sudan. But with South Sudan's civil war inching ever closer, refugees at Yida are at risk of being caught in the crossfire"" the website said. The two embassies said that they are ""appalled by this attack on those providing essential medical care or humanitarian assistance to people in need. International humanitarian law obligates all parties to a conflict to distinguish civilians from combatants"". ""This latest event only heightens our concerns about the protection of civilians in South Kordofan, Blue Nile, and Darfur, where Sudanese Armed Forces continue indiscriminate aerial bombardments of civilians and civilian areas,"" said their press release. ""We call upon the Government of Sudan to account for the apparent targeting of a healthcare facility and its patients. We urge all parties to the conflict to take the necessary steps through the African Union-led effort to achieve a cessation of hostilities and allow for full humanitarian access"". Last year the Sudanese government vowed to crush rebellions in all conflict zones including the one in South Kordofan. The UN Office for the Coordination of Humanitarian Affairs (OCHA) said in its latest weekly bulletin that more than 100,000 have been displaced recently in South Kordofan as a result of the fighting between the Sudanese army and Sudan People's Liberation Movement-North (SPLM-N). Peace talks sponsored by the African Union between the two warring sides were adjourned last month in Addis Ababa after failing to seal a framework agreement.",NEGATIVE,NEGATIVE,humanitarian,-1,-1
