summary,paragraphs,sentiment_paragraph,sentiment_summary,topic,sentiment,outcome
"The article discusses the continuing humanitarian crisis in South Sudan, with deteriorating food and nutrition situation, economic decline, and sporadic violence. The World Food Programme (WFP) indicates that the attacks by armed groups in Raja town and clashes between Government forces and an armed group were reported in Leer town. WFP is scaling up its efforts to reach food insecure households through the lean season. The agency requires $74 million for the next six months to meet the needs of all refugees in Ethiopia, Kenya, Sudan, and Uganda.","Despite some recent political progress in South Sudan, a deteriorating food and nutrition situation, economic decline and sporadic violence are continuing to significantly impact the humanitarian needs within the country, the United Nations food relief agency cautioned today. In an update on the regional impact of the crisis in South Sudan, the World Food Programme (WFP) highlighted that reports indicate that attacks by armed groups in Raja town on 15 June resulted in death, destruction of property and displacements. In addition, clashes between Government forces and an armed group were reported in Leer town, Unity state. ""The deteriorating economic conditions, coupled with rising prices of essential commodities, is contributing to rising criminality in most parts of the country,"" WFP said in the update. In Sudan and Uganda, the rate of new arrivals has slowed compared with previous months, according to the update. WFP noted that it remains to be seen whether the numbers will increase given the deteriorating food security conditions in South Sudan. In that regard, WFP indicated that food insecurity remains a key concern throughout the country. ""The economic decline and high inflation combined with disrupted harvests and livelihoods continue to worsen the food security situation,"" the agency said, noting that Eastern Equatoria, Northern Bahr el Ghazal and Western Bahr el Ghazal are exhibiting the most rapid decline in that regard. WFP said it is scaling up its efforts to reach food insecure households through the lean season to prevent a further decline in the food security and nutritional status of the population. General food distributions are ongoing alongside food assistance for assets programmes in Northern Bahr el Ghazal and Eastern Equatoria. The agency said it requires $74 million for the next six months to meet the needs of all refugees in Ethiopia, Kenya, Sudan and Uganda. Food stocks are stretched and immediate funds are required in particular for Sudan and Uganda. In addition to providing food assistance inside South Sudan, WFP provides food assistance for refugees at border crossings, during transit, at reception centres and upon settlement in the camps. Nutrition interventions are ongoing to treat and prevent malnutrition for children younger than 5 years old, as well as pregnant women and breastfeeding mothers.",NEGATIVE,POSITIVE,hunger,-1,-1
"The article discusses aid agencies responding to the needs of thousands of civilians affected by armed violence in South Sudan, including those in two UN peacekeeping compounds in Juba. NGOs and UN agencies are providing life-saving services such as water and sanitation, shelter, and emergency healthcare. Emergency supplies and food have also been provided for those seeking protection in other areas such as Bentiu, Unity State, Jonglei, and Bor. The article notes concern for the massive increase in need and the importance of protection for civilians and aid workers. Donor support is requested.","Juba, South Sudan — ""Aid agencies are now responding to the needs of thousands of civilians affected by the recent armed violence affecting South Sudan - including an estimated 20,000 people in two UN peacekeeping compounds in Juba. Non-governmental organizations and UN agencies are providing life-saving services in the two bases, including water and sanitation, shelter and emergency healthcare to people displaced by the armed violence. Emergency latrines are being dug, high-energy biscuits provided to meet urgent nutritional needs of children and other vulnerable people, and emergency surgical supplies, drugs, and reproductive health kits delivered to hospitals around Juba. Aid agencies have also been able to deliver food to some 7,000 people who have sought shelter in the UN peacekeeping base in Bentiu, Unity State. While assistance is underway in these two cities, I am also concerned about thousands of people affected by the past week's violence in other parts of the country. The situation is particularly bad in Jonglei and Unity states, where fighting has displaced thousands of civilians. I just returned from Bor, where an estimated 17,000 people have sought protection in the UN peacekeeping base. While there, I witnessed firsthand the harrowing results of the intense violence that has swept the area. I heard heartbreaking accounts of people's suffering, including tales of children separated from their parents. Aid workers are also under intense pressure, with humanitarian compounds looted in several locations. We are looking at a massive increase in need and I am engaging all parties to ensure that civilians are protected and that aid workers are able to access people who need our help. Humanitarians will continue to stand by the people of South Sudan at this extremely difficult time and provide impartial and neutral aid to save lives and alleviate suffering. I call on donors to make resources available so that agencies can bring in managers, specialists and supplies without delay."" SOURCE Coordination of Humanitarian Affairs (OCHA) in South Sudan",POSITIVE,POSITIVE,hunger,-1,-1
"The article discusses the ongoing conflict and humanitarian crisis in South Kordofan, Blue Nile, and Abyei regions of Sudan. Despite agreements signed by representatives of the regime committing to a cessation of hostilities, President Omar al-Bashir has made clear that he has no intention of honoring them. The conflict has resulted in displacement, executions of Nuba civilians, and a virtual shutdown of humanitarian access in the region. The article also highlights the historical genocidal jihad directed against the Nuba people in the 1990s and the Khartoum regime's ambitions for depopulating the area of civilians. The international community's failure to acknowledge these ambitions is seen as a reason for the ongoing war. ","What are Khartoum's ambitions in South Kordofan and Abyei? What is the significance of the two agreements concerning these key regions signed by representatives of the regime? The agreement on South Kordofan (and Blue Nile) declared that in principle Khartoum was committed to a cessation of hostilities agreement. But Reuters reports today that on his return from China, President Omar al-Bashir made clear that this is yet another agreement signed expediently and one that he has no intention of honoring (one must surmise that the Chinese have done little to pressure al-Bashir and the regime to come to some reasonable diplomatic settlement). In the ""Framework Agreement ""on South Kordofan and Blue Nile (June 28), Nafi'e Ali Nafi'e---the increasingly powerful senior figure within the National Islamic Front/National Congress Party---officially committed the regime ""to work to agree both [sic] immediate and sustainable security arrangements for Southern Kordofan and Blue Nile,"" specifically an ""Agreement on Cessation of Hostilities in Southern Kordofan."" But today we heard a rather different commitment: ""Sudan's President OmarHassan al-Bashir said the army would continue its campaign in the flashpoint of South Kordofan, state news agency SUNA said on Friday, dashing hope of a cease-fire ahead of southern secession. In his first comments since returning from a visit to China, Bashir seemed to contradict comments by a northern official this week that north and south had agreed 'in principle' on a cease-fire in the northern oil state."" ""'He directed the armed forces to continue their military operations in South Kordofan until a cleansing of the region is over,' SUNA quoted Bashir as telling worshippers during Friday prayers."" (dateline: Khartoum) http://af.reuters.com/article/worldNews/idAFTRE7605O720110701 Celebration of the agreement by the AU's expedient Thabo Mbeki and the UN's feckless Ban Ki-Moon would seem distinctly premature. And in the absence of a cessation of hostilities agreement, we must ask what this war will look like going forward. Despite continuing agnosticism on the part of U.S. special envoy Princeton Lyman about what is occurring in South Kordofan, the images of aerial destruction continue to pour out of the region, as do reports of house-to-house arrests and executions of Nuba civilians; a virtual shutdown of humanitarian access in the region; a massive build-up of weapons and armor in Kadugli (capital of South Kordofan); and relentless aerial assaults on civilians, humanitarians, churches, and other non-military targets in the Nuba Mountains. The results of the present campaign have been horrific. I have assembled an album of my own photographs from 2003, a time of relative peace in the Nuba, and photographs from this past month (June 2011), mainly from Nuba sources. The latter are images of the waral-Bashir vows to continue until the Nuba Mountains have been ""cleansed."" (Warning: many of the photographs are disturbingly gruesome---http://goo.gl/5gDpV) I have also assembled a range of photographs, from various sources, that chronicle the displacement from Abyei of the Dinka Ngok to the South, the destruction and looting of Abyei town, as well as the plight of those displaced to Akok, Turelei, Wau, and other Southern towns. As Sudan moves into the heaviest part of the rainy season, water-borne diseases will become increasingly frequent and dangerous. A normally optimistic program director for a Western humanitarian organization, with a long history in this area, informs me that he sees only a very grim future for these people---http://goo.gl/oAhxE A great deal of this has been eminently foreseeable. I argued on March 9, 2011: ""[Khartoum's] military strategy comes ever more clearly into focus: seize Abyei as far south as possible, then negotiate final status of the region from a position of military strength...."" ""If war resumes in Abyei, it is likely to spread quickly to the Nuba Mountains in South Kordofan and Southern Blue Nile. The entire North/South border could become one long military front, particularly in the oil regions of Unity State and South Kordofan. Unless Khartoum is sent the clearest possible signal that it will gain nothing by such offensive military action, including arming and encouraging Misseriya militias, the fighting in Abyei will increase. The UN peacekeeping mission (UNMIS) is neither willing nor able to intervene---or even report on what lies beyond their bases. At this point, UNMIS patrols are consistently being denied freedom of movement by both the SAF and SPLA. Heavily armed, Khartoum-backed Misseriya units continue marauding throughout much of Abyei."" (""Obama Weak on the Rapidly Escalating Crisis in Abyei, ""Dissent Magazine (on-line), March 9, 2011 http://dissentmagazine.org/atw.php?id=396) All this has come to pass because the international community, and especially the U.S. as guided by special envoy Lyman, has refused to see Khartoum's ambitions for what they are, refused to assess on a realistic basis what would deter the regime from war-making that even in early March was clearly in the offing. It has also come to pass despite the grim history of the genocidal jihad directed against the Nuba people during the 1990s, a history that should do much more to inform the thinking of special envoy Lyman, who casually declared in response to a question about whether the Nuba Mountains might become a ""new Darfur"": ""I don't think so for two reasons. One because the Nuba Mountain people are fighting back and I don't think the North is capable of dislodging large numbers of people on an ethnic basis from the Nuba Mountains. That's the reality on the ground. Second, I'm not sure that's the objective of the government though local commanders may have a different point of view."" But of course the Nuba people ""fought back"" heroically in the 1990s; even so, hundreds of thousands died (mostly from starvation and disease) and hundreds of thousands were displaced from the irrich farmlands. History flatly contradicts Lyman's claim. And as to Lyman's surmise about the ""objectives"" of the Khartoum regime, this seems absurdly complacent, given the history of this regime. The evidence of ethnic targeting of Nuba civilians for execution and aerial attack is overwhelming. Lyman would do well to read an account by Alex de Waal of the ghastly history of genocide in the Nuba Mountains in the 1990s (""Averting Genocide in the NubaMountains,""2006) ""The counterinsurgency fought by the Government of Sudan against the rebels of the Sudan People's Liberation Army (SPLA) in the Nuba Mountains of central Sudan during the early1990s was not only exceptionally violent, but also aimed at depopulating the area of civilians. Not only did the government aim to defeat the SPLA forces but they also intended a wholesale transformation of Nuba society in such a way that its prior identity was destroyed. The campaign was genocidal in intent and at one point, appeared to be on the brink of success...."" ""The war was notable for attacks on civilian targets with forced displacement, rape and killing. The principal instruments of counterinsurgency included locally-recruited militia, the regular army and the air force, under the overall coordination of Military Intelligence...."" ""The early period of the war was marked by militia massacres and extra-judicial executions by military intelligence. In a mixture of reprisals and counter-insurgency, some of it pre-emptive, a coalition of military officers and local militia commanders escalated violence against the Nuba. The first step was the arming of local Arab tribes by the government, initially as a panicked response to an SPLA attack in the region in 1985, and in 1989 they were formalized into the 'Popular Defence Forces.' The militias committed the worst massacres of the war, driven not only by orders from their paramilitary command, but also by their own search for cattle, loot and cheap labor...."" ""Death squads targeted community leaders in rural areas, while intellectuals in the towns were rounded up by Military Intelligence and 'disappeared.' The rationale was explained by Khalid Abdel Karim al Husseini, formerly head of the security in the Office of the Governor of Kordofan (and younger brother of the governor), until he left Sudan and sought asylum in Europe in 1993. He said that the government was 'taking the intellectuals, taking the professionals, to ensure that the Nuba were so primitive that they couldn't speak for themselves.'"" All of this---all of it---is again evident in the conduct of counter-insurgency war: the extra-judicial executions; the targeting of intellectuals and indeed all Nuba; the arming of Arab militias and the Popular Defense Forces (PDF), the latter now entirely Arab; the depopulating of the Nuba Mountains; the campaign to deny food and humanitarian assistance. And as the Small Arms Survey makes clear in its report on arms in South Kordofan (""Armed Entities in South Kordofan,"" June 2011), the Khartoum-allied militia groups are extremely heavily armed and supplied---this in addition to the growing SAF military presence from Dilling to Kadugli.",NEGATIVE,POSITIVE,hunger,-1,0
"The article discusses the concerns raised by Oxfam South Sudan Country Director, Zlatko Gegic, over targeted rape, killing of civilians, and destruction of homes and hospitals in Leer and Malakal. The escalating violence in these areas has resulted in the evacuation of aid workers and is exacerbating the already precarious food situation in the country. Oxfam is currently supporting over 570,000 people in South Sudan with humanitarian assistance and over 350,000 with long-term development and support.","In response to the statement by the UN Humanitarian Coordinator in South Sudan, Mr. Toby Lanzer, regarding violations of International Humanitarian Law in Leer and Malakal, Oxfam South Sudan Country Director Zlatko Gegic said: ""We are alarmed and deeply concerned by reports of eyewitness accounts of targeted rape and killing of civilians, including children. The deliberate targeting of civilians and the destruction of homes and hospitals is in clear contravention of international law. ""The escalating violence has forced us to evacuate aid workers from Malakal and Nyal, which means thousands of civilians will no longer be able to access much needed assistance. ""We are particularly concerned about deteriorating food security. The ongoing war is exacerbating what is already a precarious food situation - people are being forced from their homes by conflict and as the rains begin many will be further cut off from life-saving assistance. Ongoing fighting is preventing people from planting food crops and disrupting their livelihoods. ""The majority of those affected by severe hunger are in conflict-affected and hard to reach areas and it will be even harder for them to access life-saving assistance with the coming rains. We are already seeing alarming rates of malnutrition and hunger, with food experts predicting more than 3.5 million people to be severely hungry by the end of June. ""The war is causing immense suffering for the people of South Sudan. We are appealing to the warring parties to stop fighting and urgently agree to a lasting peace to end this crisis and save thousands of lives. The people of South Sudan have already suffered far too much,"" Mr Gegic said. Oxfam has a dedicated team working across South Sudan to rebuild livelihoods, provide humanitarian assistance and promote active citizenship. We focus on providing clean water, public health and livelihoods support, and work with partners on peace building and governance issues. We are currently supporting over 570,000 people in South Sudan with humanitarian assistance and over 350,000 with long term development and support.",NEGATIVE,,hunger,-1,-1
"The article discusses the arrangements made by Minister of Welfare and Social Security, Amira Al-Fadil for repatriating over 12,000 stranded South Sudanese citizens in the White Nile State back to their country. The transfer operation will be done through Rank town with the cooperation between the UN and the IOM. The Southerners are given an extended deadline of stay until May 20th and will be provided with food and medicines in accordance with Sudanese values and heritages.","Khartoum — Minister of Welfare and Social Security, Amira Al-Fadil on Wednesday discussed with the Wali(governor) of the White Nile State, Yousif Al-Shanbaly arrangements made for repatriating the stranded South Sudanese nationals in the State to their country. The deadline of stay of the Southerners has been extended to May 20th and it is agreed that they will be transferred through routes to Rank town and with cooperation between the UN and the International Organization for Migration(IOM), the Minister stressed. She announced start of the transfer operation for over 12,000 stranded South Sudanese citizens and that they would be provided with food and medicines in consistent with the Sudanese values and heritages. The Minister reiterated that the Government is committed to help the stranded Southerners get back to their country.",POSITIVE,POSITIVE,refugees,1,1
"The article discusses the expansion of operations by the International Organization for Migration (IOM) in South Sudan to provide relief to the staggering crisis needs of people displaced by ongoing conflict. The IOM is leading the registration of displaced persons sheltering inside UN bases in Juba and distributing relief supplies in coordination with humanitarian partners on the ground. William Lacy Swing, IOM director general, expresses his concern for the crisis-affected population and calls for additional funding support. The conflict has forced nearly 200,000 people to flee their homes, with 62,000 people currently seeking shelter and protection on UN peacekeeping bases, while a further 22,600 people have crossed into neighboring countries. The article highlights the overcrowding and inability to accommodate new arrivals at the UN Tomping base in Juba, which is currently housing about 17,400 people, and the major concern of protecting civilians within the site due to fighting within and the camp and surrounding areas.","Juba — The International Organization for Migration (IOM ) is expanding its operations in South Sudan, describing the crisis needs of people displaced by ongoing conflict in the country as ""staggering"". The IOM has been leading the registration of displaced persons sheltering inside UN bases in Juba and distributing relief supplies in coordination with humanitarian partners on the ground. It is coordinating the sanitation and hygiene services at the UN's Malakal base in Upper Nile state, which is hosting some 12,000 displaced persons. IOM director general William Lacy Swing, who arrived in Juba on Sunday where he plans to meet with IOM staff and humanitarian partners, has expressed his concern for the crisis-affected population. ""The needs created by this crisis are staggering. I am deeply saddened by the violence that has affected so many South Sudanese who are simply trying to survive"", Swing said on Tuesday. The IOM has issued an appeal to the international community to contribute $23.2 million in support of the organisation's humanitarian response to the South Sudan crisis. It says the provision of adequate shelter and essential household items would make an enormous difference to improving the living conditions of those displaced by the current crisis. ""This work is vital, and we are calling upon our partners in the international community to provide additional funding support so that we can continue to meet the basic needs of South Sudan's most vulnerable people"", Swing said. Conflict broke out in the capital on 15 December after clashes between rival factions of the presidential guards, with violence spreading to other areas. The IOM says the crisis has since forced nearly 200,000 people to flee their homes, with an estimated 62,000 people currently seeking shelter and protection on UN peacekeeping bases, while a further 22,600 people have crossed into neighbouring countries. According to the IOM, the UN Tomping base in Juba, which is housing about 17,400 people, has exceeded its capacity and is now unable to accommodate any new arrivals. The organisation says protection of civilians within the site remains a major concern, with reports of fighting within and the camp and surrounding areas.",POSITIVE,POSITIVE,refugees,-1,-1
"The article discusses the difficulties faced by many Southerners who are stranded in the North of Sudan, as South Sudan prepares to become independent. Many are waiting for promised transportation to the South, and are living in difficult conditions, while concerns remain over communal violence and insurgencies in the South. The United Nations Refugee Agency and the World Food Programme are providing aid and transportation for those affected.","Four days before South Sudan becomes independent from Sudan, ""a significant number"" of southerners are stranded in the north in difficult conditions, seeking a way home, the UN Refugee agency (UNHCR) said today. Meanwhile the World Food Programme, (WFP) which recently completed food distributions to 900,000 people in the south, has sent a barge full of food from near Khartoum, the capital of the Sudan, up the Nile River to Juba, the capital of the new State. Dominik Bartsch, a spokesperson for UNHCR, told a news briefing in Geneva that between 1.5 and 2 million southerners had been residing in the north. Some 300,000 have already returned. ""Unfortunately, significant numbers of southerners remain stranded en route, notably in Kosti, a way station on the Nile River where 16,000 people are residing in a transit centre originally built for 2,000 people, making conditions at the site were very difficult,"" he said. Mr. Bartsch said a group of some 17,000 southerners was still in Khartoum, many waiting for the transport to the South they have been promised, but which has not been provided due to capacity reasons. ""As a result, many people are now sitting on street corners after selling their belongings, waiting for transport to arrive,"" he added. ""Many of these people who were born in Khartoum now find themselves in a situation where they have no assurance about their future status in Sudan. While statelessness is often treated as an issue of legal finesse, this was of direct concern for hundreds of thousands of southerners in the north who must decide whether or not they would travel to the south."" Mr. Bartsch said UNHCR welcomed the independence of South Sudan on 9 July, adding that the agency wished to underscores ""the south has a number of hotspots, areas where inter-communal violence, ethnic clashes and active military insurgencies are taking place."" ""There are concerns that these hotspots could generate internal displacement and, in the worst case, prompt refugees to cross the border,"" he said. Emilia Casella, a spokesperson for WFP, said the agency welcomed South Sudan's independence, ""as peace is important to maintaining food security."" Ms. Casella said a barge had departed yesterday from a location south of Khartoum and would head up the Nile River with new replenishments of food, with the aim of arriving in Juba by 12 July. Elisabeth Byrs, a spokesperson for the Office for the Coordination of Humanitarian Affairs (OCHA), said that the UN was preparing a grant request for funds to assist the returnees.",NEGATIVE,POSITIVE,refugees,-1,-1
"The article discusses how growing food insecurity in Northern Bahr El Ghazal and Warrap, South Sudan is causing more and more people to flee to neighbouring states in Sudan such as East and South Darfur. The UNHCR is urging for more funding for clean water, sanitation and health services, as well as food and shelter. The situation could worsen as the nutrition situation in Upper Nile, Warrap, and Northern Bahr Ghazal grows increasingly serious. The majority of the refugees are arriving in Sudan in poor condition and require protection from sexual and gender-based violence. Many children have been separated from their families. The UNHCR is working with partners to respond to the needs of the refugees and is advocating for direct access to East Darfur to support the response. This is part of a larger food insecurity crisis throughout South Sudan, which has forced 2.3 million people to flee their homes due to ongoing political conflict since December 2013.","Growing food insecurity is causing more and more South Sudanese to flee into Sudan, the United Nations refugee agency today, urging more funding for clean water, sanitation and health services, food and shelter. The Office of the UN High Commissioner for Refugees (UNHCR) said some 38,000 people have fled north over the border to neighbouring East and South Darfur since the end of January, particularly from the growing unrest in the north-western states of Northern Bahr El Ghazal and Warrap. The majority crossed into East Darfur, where an average of 500 South Sudanese - or 100 households - had been arriving per day rising to over 150 households last week, according to UN officials. The situation ""could quickly worsen as the nutrition situation in Upper Nile, Warrap, and Northern Bahr Ghazal grows increasingly serious,"" the agency said in a statement. The arrivals are reaching Sudan in poor condition, according to the Government of Sudan's Humanitarian Aid Commission. In addition to food, water and basic relief items, they need protection from sexual and gender-based violence, and many children have been separated from their families. UNHCR is working with the UN Office for the Coordination of Humanitarian Affairs (OCHA) to respond to the needs, and is also advocating for direct access to East Darfur to support the response. The UN agency has expressed concern about the 2016 South Sudan Regional Refugee Response Plan (RRRP) that covers the refugee programmes in the neighbouring countries, run by UNHCR and 39 partners. The Plan, which requires In South Darfur, over 2,000 people were registered in Beliel Camp located in the village of that name, and which has hosted internally displaced persons in Darfur. The South Sudanese coming to the camp ""have faced insecurity en route"" to the camp, according to UNHCR, and many are sick and in need of medical attention. These groups are part of 2.8 million people throughout South Sudan who are officially classified as facing a food insecurity crisis or emergency, according to Fewsnet, the global body mandated to monitor such situations. The food insecurity is worsened by the ongoing fighting in the country, which started in December 2013 for political reasons, and which has since forced 2.3 million people to flee their homes.",NEGATIVE,NEGATIVE,refugees,-1,-1
"The article discusses the fighting that erupted in the Malakal Protection of Civilian (PoC) site in Malakal, South Sudan, resulting in the deaths of at least 18 people, including two MSF South Sudanese staff members who were attacked in their homes. MSF teams treated dozens of wounded people, including one of their own staff members. The attack forced approximately 600 people to gather inside the MSF hospital. MSF demands that armed groups stop their actions and respect the PoC site as a sanctuary. The Malakal PoC site currently shelters around 40,000 people who came looking for protection and aid. MSF has been working in the region of South Sudan since 1983.","MSF teams treated dozens of wounded people after last night's violence As a result of fighting that erupted in the Malakal Protection of Civilian (PoC) site in Malakal, South Sudan, at least 18 people were killed, two of them MSF South Sudanese staff members who were attacked in their homes. MSF teams in its hospital received 36 wounded people during the night, one of them an MSF staff member. More casualties are currently arriving. Initial fighting went on for approximately three hours forcing around 600 people - mostly women and children - to gather inside the MSF hospital. MSF teams worked through the night to treat the injured. At least 25 of the initial intake of patients to the hospital had suffered gunshot wounds and eight of them required surgery. ""People came to the PoC looking for protection and this should be a sanctuary respected by all parties."" ""This attack on civilians is outrageous and we demand that armed groups stop these actions,"" said Marcus Bachmann, coordinator of MSF projects in South Sudan. ""People came to the PoC looking for protection and this should be a sanctuary respected by all parties."" Some 40,000 people are currently sheltering in the Malakal PoC site. Many came from areas where no aid had been available for months. Most people arrived without any possessions. People have been sheltering in the PoC site in Malakal since conflict erupted in the area in December 2013. The number of people living there more than doubled last year, following an influx of 10,000 displaced people in April and a further 16,000 in July and August. Our thoughts are with the families of our colleagues who have lost their lives. MSF operates a 50-bed hospital in Malakal, including a 24-hour emergency room, as well as a separate emergency room inside the PoC site. MSF has been working in the region that today constitutes the Republic of South Sudan since 1983. Today, we employ more than 2,937 South Sudanese staff and 329 international staff to respond to a wide range of medical emergencies and provide free, high quality healthcare in 18 projects across seven of South Sudan's 10 states and the Abyei Special Administrative Area.",NEGATIVE,NEGATIVE,humanitarian,-1,-1
"The article discusses the fighting in and around Malakal, the overcrowding and poor conditions at the UN base in Malakal where 20,000 people are seeking protection, the upsurge in fighting, limited water and sanitation facilities, and the risk of disease due to poor sanitation. The Danish Refugee Council has undertaken an immediate camp clean-up operation to improve general conditions and reduce the spread of disease. The crisis in South Sudan has led to the displacement of 487,000 people and thousands killed.","As fighting rages around South Sudan's northern city of Malakal, overcrowding at the United Nations base there is so severe that 2,000 bags of human waste have been collected to limit the risk of disease, the Danish Refugee Council (DRC) said on Tuesday. Some 20,000 people are seeking protection inside the base of the United Nations Mission in South Sudan (UNMISS) in Malakal, capital of Upper Nile State, the nation's second biggest oil state, double the number on Friday, putting pressure on limited water supplies and overwhelming camp latrines. The world's youngest state is experiencing its worst crisis since independence two years ago, with 487,000 displaced and thousands killed since fighting between government and rebel forces broke out on Dec. 15. ""Our team report fighting in and around Malakal town from around 7.30 am today, specifically with fighting around the airport,"" Heather Blackwell, DRC's country director, said in an email. ""This huge increase of people further strains the limited water and sanitation facilities inside the camp and availability of food,"" Blackwell said. ""DRC has undertaken an immediate camp clean-up operation designating areas for defecation (as latrines are limited) and paying for bags of human solid waste to improve general conditions and reduce spread of disease."" The DRC has paid residents $1 per bag to collect the waste, and 2,000 bags are being loaded on to trucks to be burned, though it is not safe to do so now because of the fighting, she said. FIERCE BATTLES Those at the Malakal base are getting eight litres of water per day, just over half the international standard for such situations of 15 litres. Aid agencies at the base have increased their ability to provide surgical care for injured patients, but inadequate sanitation for such large numbers remains a subject of concern. The oil regions have been the focus of fierce battles between government forces and rebels. ""Everyone who could left Malakal in the past few days. There were rumours that the opposition forces from Bentiu were moving eastwards towards Malakal,"" Oxfam country director Jose Barahona said in a telephone interview from Juba. ""Yesterday, a lot of civilians in Malakal went to the U.N. base or left the city."" Bentiu, west of Malakal, is the capital of South Sudan's main oil producing region, Unity State. There was a similar exodus from Bentiu last week ahead of the government's recapture of the town on Friday. On Sunday, more than 200 people fleeing Malakal drowned in a ferry accident on the River Nile, the BBC reported. The upsurge in fighting around Malakal has made it impossible for more humanitarian workers to get in to improve conditions at the U.N. base, which was built to house U.N. peacekeepers. Oxfam was planning to send sanitation experts to Malakal on Wednesday but this now looks unlikely. Tuesday's daily U.N. flight to Malakal was suspended because of the fighting. Since the start of the crisis, almost 200 latrines have been built for those sheltering inside the Malakal base, Barahona said. This falls far short of humanitarian standards, which recommend one latrine for 20 people. ""We were still struggling to provide enough latrines and water for 10,000 people,"" he said. ""The open defecation areas will be very crowded and there is the risk of people getting sick.""",NEGATIVE,NEGATIVE,humanitarian,-1,-1
